127.0.0.1 - - [16/Oct/2021:15:59:02 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:00:54 +0900] "GET /MVC07/list.do HTTP/1.1" 500 1098
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:04 +0900] "GET /MVC07/boardList.do HTTP/1.1" 500 1098
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:24 +0900] "GET /MVC07/memberList.do HTTP/1.1" 200 9498
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:25 +0900] "GET /MVC07/file_repo/1631962963846_%EC%95%A0%EB%8B%88%EC%8A%A4%ED%84%B0%EB%94%94_%EC%8B%A0%EC%B2%AD%ED%95%98%EC%9E%90.jpg HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:25 +0900] "GET /MVC07/file_repo/1631858223350_%EC%A7%81%EC%97%85%EA%B4%80.JPG HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:25 +0900] "GET /MVC07/file_repo/1709663416_ansrud8970.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:25 +0900] "GET /MVC07/file_repo/1631866992344_%EC%A7%81%EC%97%85%EA%B4%80.JPG HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:25 +0900] "GET /MVC07/file_repo/%EB%8F%85%EC%B7%A8%EC%82%AC.JPG HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:25 +0900] "GET /MVC07/file_repo/%EA%B3%BC%20%EC%9E%A0.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:48 +0900] "POST /MVC07/memberLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:48 +0900] "GET /MVC07/memberList.do HTTP/1.1" 200 9091
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:49 +0900] "GET /MVC07/file_repo/1631962963846_%EC%95%A0%EB%8B%88%EC%8A%A4%ED%84%B0%EB%94%94_%EC%8B%A0%EC%B2%AD%ED%95%98%EC%9E%90.jpg HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:49 +0900] "GET /MVC07/file_repo/1631858223350_%EC%A7%81%EC%97%85%EA%B4%80.JPG HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:49 +0900] "GET /MVC07/file_repo/1709663416_ansrud8970.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:49 +0900] "GET /MVC07/file_repo/1631866992344_%EC%A7%81%EC%97%85%EA%B4%80.JPG HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:49 +0900] "GET /MVC07/file_repo/%EB%8F%85%EC%B7%A8%EC%82%AC.JPG HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:01:49 +0900] "GET /MVC07/file_repo/%EA%B3%BC%20%EC%9E%A0.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/memberLogout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/memberList.do HTTP/1.1" 200 9498
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/file_repo/1631962963846_%EC%95%A0%EB%8B%88%EC%8A%A4%ED%84%B0%EB%94%94_%EC%8B%A0%EC%B2%AD%ED%95%98%EC%9E%90.jpg HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/file_repo/1631858223350_%EC%A7%81%EC%97%85%EA%B4%80.JPG HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/file_repo/1709663416_ansrud8970.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/file_repo/1631866992344_%EC%A7%81%EC%97%85%EA%B4%80.JPG HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/file_repo/%EA%B3%BC%20%EC%9E%A0.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [16/Oct/2021:16:02:03 +0900] "GET /MVC07/file_repo/%EB%8F%85%EC%B7%A8%EC%82%AC.JPG HTTP/1.1" 404 805
